text,label
"Ye kapde mere fit nahi hue, kya exchange ho sakta hai?",refund_request
please delivery address kaise change karu settings mein zara batana please help,general
arre app mein address dikhna hi band ho gaya hai koi solution do,general
"Mujhe apne order ki tracking details nahi milti, koi madad karen",complaint
Mujhe apne order ki payment ke bare mein pata nahi hai,complaint
"Mujhe ye AC wapas karna hai, kyunki vo mere liye thoda mehnga hai",refund_request
"Main ye TV kharidna chahta hoon, lekin uska screen size kitna hai aur kya wo 4K supported hai?",product_query
"sunno refund abhi tak nahi aaya bank mein, do hafte se ho gaye please help",refund_request
bhai wahi product ka koi pata nahi hai teen din se zara,order_status
yaar consignment kab tak deliver hoga zara batana koi solution do,order_status
Order status check karne ke liye diya gaya link invalid hai,order_status
yaar is shoes ka return policy kaisa hai koi solution do,product_query
"bhai mujhe kurta se related complaint darj karni hai, kharaab nikla",complaint
"Mera account update karna hai, kaise karun?",general
"Mujhe apna mobile number change karna hai, plz help",general
"Mera product ka color galat hai, maine to dusra color order kiya tha",complaint
"arre delivery das din se late ho gayi hai, kya wajah hai",order_status
please watch ka size chart kahan milega kya karu,product_query
yaar delivery ka size chart kahan milega jaldi batana,product_query
"Otp nai aa rha, kya main kya karun?",general
"please shoes track nahi ho raha, kahan atka hai batao",order_status
"please refund abhi tak nahi aaya bank mein, do hafte se ho gaye kya karu",refund_request
"arre bahut ghatiya service hai, staff ne suna hi nahi please help",complaint
"Mera order abhi tak poora nahi hua hai, kuch items missing hain",complaint
"Mujhe apne account ki profile picture change karna hai, kaise karun?",general
mujhe apna payment method update karna hai app mein kaise hoga kya karu,general
mujhe wahi product ka poora paisa wapis chahiye kya karu,refund_request
"sunno maine package replace karwaya tha, purana paisa account mein nahi aaya please help",refund_request
yaar yeh ye cheez kitne size mein aata hai kya karu,product_query
please app mein bank details dikhna hi band ho gaya hai jaldi batana,general
sunno adla-badli ke baad bhi refund process stuck hai please help,refund_request
"arre mera courier kaafi dino se nahi pahucha, kab tak milega zara",order_status
yaar subah se se ye wala track nahi ho raha kahan atka hai please help,order_status
do din se se ye wala track nahi ho raha kahan atka hai zara,order_status
Mujhe apne order ki koi update nahi mili hai,complaint
yaar package exchange karne ke baad bhi paisa wapas nahi aaya jaldi batana,refund_request
sunno kya yeh cheez available hai in stock zara,product_query
"Aapke paas ye appliance ka wrnty period kitna hai, aur kya hum usko service center mein repair karwa sakte hain?",product_query
sunno cheez ka koi pata nahi hai chaar din se jaldi batana,order_status
yaar number kaise change karu settings mein zara batana zara,general
"yaar ye cheez bilkul crack aaya hai, bahut bakwaas hai zara",complaint
"Yeh dress meri behen ke liye thi lekin fit nahi hua, kya main use return kar sakta hoon?",refund_request
"sunno delivery date nikal gayi, jacket abhi bhi nahi aaya",order_status
"Mujhe apna order wapas karna hai, kyunki mujhe pata chala ki ye fake hai",refund_request
arre cheez kab tak deliver hoga zara batana koi solution do,order_status
please app mein notification settings dikhna hi band ho gaya hai jaldi batana,general
sunno saaman kab tak deliver hoga zara batana zara,order_status
"customer care ne bahut kharab behavior kiya, respect nahi di",complaint
arre is consignment ki delivery time details chahiye order karne se pehle,product_query
kya yeh courier available hai in stock,product_query
"bhai maine return kiya tha courier, paisa kab milega zara",refund_request
"bhai mujhe courier se related complaint darj karni hai, tooti hui nikla",complaint
"please bahut ghatiya service hai, courier boy ne suna hi nahi",complaint
"bhai delivery ek mahine se late ho gayi hai, kya wajah hai please help",order_status
sunno notification settings kaise band karu app ki koi solution do,general
"Yeh product ka weight kitna hai, aur kya usme carrying case milega?",product_query
"yaar wahi product track nahi ho raha, kahan atka hai batao",order_status
"bhai refund abhi tak nahi aaya bank mein, subah se ho gaye jaldi batana",refund_request
arre bag exchange karne ke baad bhi paisa wapas nahi aaya koi solution do,refund_request
yaar language nahi aa raha mobile pe kya karu,general
"please delivery return kiya tha, ab tak refund nahi aaya",refund_request
"App hang ho raha hai, plz solve",general
"please mera paisa wapis chahiye, maine mobile cancel kar diya tha please help",refund_request
"Aapke paas koi free shipping offer hai kya, aur kya aap COD accept karte hain?",product_query
bhai account settings mein payment method kaise change karu zara,general
"Mujhe ye product wapas karna hai, kya aap madad kar sakte hain?",refund_request
"sunno consignment ka status kya hai, lambe time se wait kar raha hoon please help",order_status
bhai price ke baare mein detail chahiye is ye cheez ki,product_query
bhai mujhe apna profile picture verify karna hai kaise hoga jaldi batana,general
"bhai delivery ki adla-badli karayi thi, paisa kab tak aayega koi solution do",refund_request
arre sab kuch ka size chart kahan milega jaldi batana,product_query
"yaar maine return kiya tha parcel, paisa kab milega",refund_request
please meri otp upload nahi ho rahi baar baar fail ho rahi hai please help,general
"yaar mera ye wala kaha atka hua hai, batao zara zara",order_status
arre cheez kab dispatch hoga zara batao koi solution do,order_status
Mujhe product ke bare mein jo information di gayi thi wo galat thi,complaint
"yeh saara saaman do din se kharab nikla hai, koi solution do kya karu",complaint
"Kya aapke paas ye product ki EMI (easy monthly installments) facility available hai, aur kya aap COD bhi accept karte hain?",product_query
"jacket ekdum kharab quality ka condition mein mila, sharam aani chahiye zara",complaint
"yaar maine wahi product replace karwaya tha, purana paisa account mein nahi aaya kya karu",refund_request
"App update karne ke baad se crash ho raha hai, kya karun?",general
"bhai agent ka rawaiya bahut bura tha, complaint karni hai",complaint
"yaar mera samaan kaha atka hua hai, batao zara zara",order_status
yaar bag ka koi pata nahi hai do hafte se kya karu,order_status
please email nahi aa raha mobile pe kya karu zara,general
arre mujhe mobile ka poora paisa wapis chahiye please help,refund_request
bhai app mein bank details dikhna hi band ho gaya hai,general
bhai kya jacket customize ho sakta hai size chart ke hisaab se,product_query
"Mera order late aaya, expected delivery date se bahut baad aaya",complaint
app mein email dikhna hi band ho gaya hai please help,general
"bhai staff ne bahut kharab behavior kiya, respect nahi di please help",complaint
please is bag ka size chart kaisa hai koi solution do,product_query
"please saaman ki quality bilkul bekar hai, paisa waste ho gaya jaldi batana",complaint
please mujhe apna email verify karna hai kaise hoga please help,general
yaar chaar din se se saara saaman track nahi ho raha kahan atka hai jaldi batana,order_status
arre kya yeh shoes available hai in stock jaldi batana,product_query
please adla-badli ke baad bhi refund process stuck hai,refund_request
"please delivery date nikal gayi, product abhi bhi nahi aaya",order_status
consignment ka koi pata nahi hai chaar din se koi solution do,order_status
"ye cheez track nahi ho raha, kahan atka hai batao kya karu",order_status
arre mujhe apna password verify karna hai kaise hoga zara,general
bhai box khola to andar package defective tha please help,complaint
please representative ne bilkul galat tareeke se baat ki mujhse koi solution do,complaint
"Mera parcel khule hue mila, seal toot gaya tha",complaint
adla-badli ke baad bhi refund process stuck hai jaldi batana,refund_request
"Mere order ki tracking link kaam nahi kar raha, kripya iska samadhan karein",order_status
"App crash ho rha hai, ab mai kya kru?",general
arre kya yeh courier available hai in stock please help,product_query
Mera order track nahi ho raha hai,complaint
arre iska size chart kitna hai aur konsi material se bana hai kya karu,product_query
"arre product track nahi ho raha, kahan atka hai batao please help",order_status
arre do din se se refund status pending dikha raha hai kya karu,refund_request
"bhai mera mobile kaha atka hua hai, batao zara kya karu",order_status
"please mera paisa wapis chahiye, maine cheez cancel kar diya tha koi solution do",refund_request
