text,label
"arre refund ki request kal se pehle daali thi, ab tak kuch nahi please help",refund_request
"arre yeh mobile chaar din se kharab nikla hai, koi solution do",complaint
watch ki return policy kya hai koi solution do,product_query
please kya yeh order available hai in stock please help,product_query
arre otp kaise reset karu mobile app mein please help,general
"sunno mobile ki adla-badli karayi thi, paisa kab tak aayega zara",refund_request
arre kya is wahi product ka color customize ho sakta hai zara,product_query
"yaar saara saaman bilkul purani jaisi aaya hai, bahut bakwaas hai jaldi batana",complaint
"yaar item ka status kya hai, teen din se wait kar raha hoon please help",order_status
"please mujhe shoes se related complaint darj karni hai, defective nikla koi solution do",complaint
bhai meri profile picture upload nahi ho rahi baar baar fail ho rahi hai,general
arre mujhe cheez ka poora paisa wapis chahiye zara,refund_request
"package ekdum kharab quality ka condition mein mila, sharam aani chahiye koi solution do",complaint
yaar is jacket ki quality details chahiye order karne se pehle koi solution do,product_query
"yaar parcel ki adla-badli karayi thi, paisa kab tak aayega kya karu",refund_request
"sunno ye cheez ekdum crack condition mein mila, sharam aani chahiye jaldi batana",complaint
please box khola to andar shoes kharaab tha kya karu,complaint
sunno package exchange karne ke baad bhi paisa wapas nahi aaya koi solution do,refund_request
"mera paisa wapis chahiye, maine saaman cancel kar diya tha koi solution do",refund_request
yaar consignment kab tak deliver hoga zara batana koi solution do,order_status
"please saara saaman return kiya tha, ab tak refund nahi aaya please help",refund_request
"arre watch ki quality bilkul bekar hai, paisa waste ho gaya please help",complaint
yaar mujhe laptop ka poora paisa wapis chahiye jaldi batana,refund_request
"bhai mujhe saara saaman se related complaint darj karni hai, damaged nikla zara",complaint
"sunno is consignment ka weight kya hai, batana zara",product_query
"mujhe chappal se related complaint darj karni hai, kharab quality ka nikla kya karu",complaint
arre cheez ka koi pata nahi hai ek mahine se koi solution do,order_status
arre is consignment ka brand kaisa hai kya karu,product_query
sunno login issue ho raha hai bank details yaad nahi aa raha koi solution do,general
arre sab kuch ke saath warranty milti hai kya,product_query
"sunno maine return kiya tha wahi product, paisa kab milega koi solution do",refund_request
please meri language upload nahi ho rahi baar baar fail ho rahi hai,general
please teen din se se refund status pending dikha raha hai koi solution do,refund_request
"yaar refund abhi tak nahi aaya bank mein, teen din se ho gaye jaldi batana",refund_request
mujhe shirt ka poora paisa wapis chahiye kya karu,refund_request
"track karna hai mera wahi product, status kya hai jaldi batana",order_status
"arre refund ki request lambe time se pehle daali thi, ab tak kuch nahi zara",refund_request
"sunno kal order kiya tha, saaman abhi tak nahi aaya please help",order_status
